settore_merceologico;insegna;tipo_via;via;civico;zd;superficie_vendita;superficie_altri_usi;superficie_tabelle_speciali;superficie_totale;codice_via;accesso;isolato;ingresso;settore_prevalente
ALIMENTARE;PRODUTTORE AGRICOLO;CSO;MAGENTA;12;1;0;0;0;0;604;NON SPECIFICATO;291;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
ALIMENTARE;PRODUTTORE AGRICOLO;VIA;OXILIA NINO;9;2;0;0;0;0;2287;NON SPECIFICATO;329;NON SPECIFICATO;ENOTECA E BEVANDE
NON SPECIFICATO;PRODUTTORE AGRICOLO;VIA;RIPAMONTI GIUSEPPE;436;5;0;0;0;0;4066;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;FIORI E PIANTE
NON SPECIFICATO;PRODUTTORE AGRICOLO;VIA;RIPAMONTI GIUSEPPE;549;5;0;0;0;0;4066;NON SPECIFICATO;501;NON SPECIFICATO;FIORI E PIANTE
ALIMENTARE;PRODUTTORE AGRICOLO;VIA;SELVANESCO;25;5;0;0;0;0;4350;NON SPECIFICATO;202;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
ALIMENTARE;PRODUTTORE AGRICOLO;VLE;TROYA CARLO;23;6;0;0;0;0;5140;NON SPECIFICATO;029;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
ALIMENTARE;SPECIALITA REGIONALI;VIA;SAMMARTINI GIOVANNI BATTISTA;69;2;18;0;0;18;1202;ACCESSO ESTERNO;141;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;TESSUTI;VIA;MUZIO SCEVOLA;4;3;18;0;0;18;2663;ACCESSO ESTERNO;115;NON SPECIFICATO;ABBIGLIAMENTO
ALIMENTARE;NON SPECIFICATA;ALZ;NAVIGLIO GRANDE;2;6;14;0;0;14;5144;ACCESSO ESTERNO;057;NON SPECIFICATO;GELATERIA
ALIMENTARE;NON SPECIFICATA;ALZ;NAVIGLIO PAVESE;2;6;25;0;0;25;5161;ACCESSO ESTERNO;074;NON SPECIFICATO;GELATERIA
ALIMENTARE;NON SPECIFICATA;ALZ;NAVIGLIO PAVESE;2;6;30;30;0;60;5161;ACCESSO ESTERNO;074;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;ALZ;NAVIGLIO PAVESE;2;6;3;0;0;3;5161;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;ALZ;NAVIGLIO PAVESE;34;6;4;0;0;4;5161;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;ALZ;NAVIGLIO PAVESE;6;6;17;0;0;17;5161;ACCESSO ESTERNO;074;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;BST;DI PORTA VENEZIA;1;1;32;0;0;32;2106;ACCESSO ESTERNO;018;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;BST;DI PORTA VOLTA;9;1;30;20;0;50;1066;ACCESSO ESTERNO;084;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;CSO;BUENOS AIRES;15;3;37;60;0;97;2129;ACCESSO ESTERNO;105;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
